id,state,Adana,Adiyaman,Afyonkarahisar,Agri,Amasya,Ankara,Antalya,Artvin,Aydin,Balikesir,Bilecik,Bingol,Bitlis,Bolu,Burdur,Bursa,Canakkale,Cankiri,Corum,Denizli,Diyarbakir,Edirne,Elazig,Erzincan,Erzurum,Eskisehir,Gaziantep,Giresun,Gumushane,Hakkari,Hatay,Isparta,Mersin,Istanbul,Izmir,Kars,Kastamonu,Kayseri,Kirklareli,Kirsehir,Kocaeli,Konya,Kutahya,Malatya,Manisa,Kahramanmaras,Mardin,Mugla,Mus,Nevsehir,Nigde,Ordu,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdag,Tokat,Trabzon,Tunceli,Sanliurfa,Usak,Van,Yozgat,Zonguldak,Aksaray,Bayburt,Karaman,Kirikkale,Batman,Sirnak,Bartin,Ardahan,Igdir,Yalova,Karabuk,Kilis,Osmaniye,Duzce,total_imm,total_emm,diff,color
1,Adana,0,690,350,174,106,2958,2286,63,388,296,63,210,345,121,89,717,151,195,136,308,1382,102,730,190,486,506,1723,109,77,114,2649,398,5632,6306,1665,133,101,1692,63,198,573,1207,151,1150,328,1781,1819,498,229,317,1839,124,104,256,267,299,29,406,242,259,248,147,2254,106,501,224,80,389,53,236,154,425,338,29,34,49,47,71,166,2678,100,53685,54109,-424,#FF9F9F
2,Adiyaman,1059,0,95,54,43,732,722,17,146,110,39,26,53,21,27,180,35,40,52,72,204,50,190,88,134,139,2034,75,20,12,307,62,1232,4334,350,48,29,113,18,48,125,170,48,1827,83,378,67,134,23,61,83,22,26,62,56,36,9,158,113,136,65,17,718,43,94,36,38,45,5,38,57,135,59,18,12,24,11,25,69,133,26,12091,18295,-6204,#D00000
3,Afyonkarahisar,179,40,0,46,36,1414,1870,30,567,226,98,53,51,47,317,581,281,77,93,1972,88,57,52,55,121,1872,125,61,18,24,117,868,197,2137,2670,33,61,116,51,52,661,931,580,41,403,82,76,386,28,33,64,67,40,167,122,48,18,72,158,97,94,17,111,363,72,84,64,82,25,77,63,52,62,26,21,27,42,41,8,34,64,20223,22256,-2033,#FF6868
4,Agri,268,39,162,0,45,1623,368,35,539,324,83,11,158,91,38,943,110,80,121,196,115,197,37,168,416,288,131,73,29,12,168,86,234,6237,2072,148,32,333,115,51,991,248,85,128,307,67,33,232,163,36,16,70,76,266,148,27,34,138,312,80,221,4,116,121,1126,87,38,29,25,29,51,56,23,2,12,603,102,40,38,100,157,12115,22613,-10498,#700000
5,Amasya,96,22,53,55,0,1561,254,23,82,207,16,38,34,51,20,329,44,30,507,54,45,30,46,86,124,136,44,80,25,17,73,44,70,3697,563,35,66,131,27,30,319,175,52,73,62,24,12,92,18,28,31,195,31,102,1111,27,60,202,184,808,153,15,31,18,26,79,49,16,26,17,76,13,42,40,6,15,19,40,12,8,35,11533,13187,-1654,#FF7F7F
6,Ankara,2016,324,1374,687,1182,0,5137,563,1543,1852,291,285,534,2548,189,2944,613,8581,3397,881,1463,438,792,640,1529,3712,958,565,586,321,1242,1305,2462,15670,6901,788,921,2302,310,2651,2198,4335,705,1659,966,763,696,1820,256,982,1329,1228,705,1130,2479,295,369,1553,814,2067,2018,324,1199,262,1089,4733,1186,1230,174,439,7384,377,431,569,313,254,375,724,115,426,646,168193,131114,37079,#00446C
7,Antalya,1622,385,1268,137,151,4562,0,82,804,505,65,113,146,189,2028,974,230,139,293,893,1071,113,329,255,395,1137,1044,199,169,71,1911,2929,1890,7855,2787,112,100,903,70,293,643,4176,523,533,793,1093,435,1503,96,259,251,423,159,377,606,134,97,649,229,412,451,51,1357,394,725,370,269,338,26,514,396,552,176,95,48,48,151,133,90,699,139,75696,58632,17064,#0072BC
8,Artvin,33,7,25,43,16,606,107,0,69,79,26,9,7,36,11,995,33,14,33,23,18,27,28,24,346,98,33,81,23,4,31,26,62,1208,218,43,26,34,22,16,495,75,16,10,41,22,34,52,13,6,12,91,618,105,439,1,42,30,62,54,397,4,19,27,22,7,28,13,29,3,13,12,2,10,60,7,57,13,0,26,40,6206,7547,-1341,#FF8F8F
9,Aydin,300,77,484,210,38,1478,1008,39,0,420,65,83,199,85,166,617,222,63,102,1793,355,160,94,110,281,501,184,64,31,23,155,494,269,2873,6070,84,59,231,43,68,360,695,271,158,742,111,110,2192,210,42,44,109,91,130,270,94,43,141,223,126,160,48,171,199,214,71,153,82,21,98,76,144,47,47,25,45,66,52,34,64,63,28524,27640,884,#0FA0FF
10,Balikesir,222,52,242,117,206,2170,623,35,456,0,206,57,91,108,78,3048,1461,59,91,303,312,300,116,95,229,699,152,72,54,50,155,230,240,5587,4038,86,131,176,173,66,846,447,502,200,1739,70,160,378,71,48,67,143,55,283,220,81,61,163,491,129,631,59,135,161,153,110,201,47,38,43,92,112,84,51,19,47,243,92,21,84,128,33275,31291,1984,#009AFF
11,Bilecik,59,9,139,20,8,416,177,8,54,146,0,18,13,60,35,997,63,8,37,57,140,22,44,19,67,1630,22,22,14,7,37,66,58,1180,232,32,29,29,39,27,323,123,355,25,66,47,24,73,16,10,17,34,9,357,46,9,42,17,69,37,26,10,29,21,37,21,48,16,14,6,22,22,32,6,3,4,63,30,9,36,57,8283,8251,32,#23A8FF
12,Bingol,392,38,47,36,33,462,184,9,88,82,28,0,47,19,19,375,68,41,38,42,1454,36,943,139,163,72,138,15,12,13,89,37,233,2784,299,19,51,72,26,36,199,90,40,292,128,31,47,55,163,14,35,24,23,50,50,17,28,50,42,42,26,26,60,22,98,18,34,41,6,9,27,29,13,17,3,7,35,18,29,69,40,6986,10726,-3740,#FF1818
13,Bitlis,649,42,62,280,51,1344,290,15,357,192,51,42,0,50,29,637,53,39,45,64,237,38,72,41,116,66,216,21,10,28,155,45,940,4520,1171,47,48,108,37,48,297,148,35,108,201,103,35,91,328,30,30,35,12,75,96,264,23,55,152,57,27,11,89,42,1083,36,17,34,5,16,41,247,52,22,5,22,48,15,42,170,30,11594,16485,-4891,#F00000
14,Bolu,107,24,74,21,23,2195,203,20,58,106,46,20,24,0,28,171,56,78,70,39,30,36,51,29,60,138,56,24,17,22,73,61,114,1882,212,18,77,67,16,44,543,136,43,35,72,53,8,104,11,29,24,64,29,421,79,33,39,68,84,39,73,21,42,12,46,30,403,14,1,8,52,15,97,112,5,6,38,188,10,30,617,12808,10124,2684,#008EEA
15,Burdur,100,13,224,48,16,350,2808,13,173,79,43,20,17,15,0,80,41,32,19,612,35,25,30,17,55,118,35,11,8,6,54,830,117,458,346,13,23,52,28,21,83,208,62,20,108,31,15,277,41,24,31,33,21,28,61,25,16,29,42,37,34,12,62,62,33,31,34,14,5,25,17,26,16,6,16,11,7,14,3,24,30,8144,8659,-515,#FF9F9F
16,Bursa,582,137,466,401,257,3523,1393,759,552,2694,1028,179,289,167,78,0,708,137,299,276,1113,382,309,268,1466,1728,363,647,231,94,416,315,600,9459,2562,214,165,392,218,154,1993,967,1664,466,821,254,379,532,1294,113,220,513,297,988,1749,152,124,385,568,489,1617,119,485,171,514,543,769,178,103,93,256,173,110,131,144,83,1145,238,47,150,310,66615,56368,10247,#007CCC
17,Canakkale,198,40,91,140,40,807,263,26,186,1723,52,31,32,65,35,754,0,41,34,98,103,407,34,49,117,207,64,46,6,26,105,125,114,3333,1046,83,41,134,139,25,465,147,170,58,282,85,90,199,45,20,22,79,56,132,142,35,39,77,691,54,148,35,77,37,110,56,92,13,24,19,31,13,63,37,23,11,110,45,8,53,49,15412,14802,610,#1BA5FF
18,Cankiri,56,11,39,27,42,5356,233,3,51,69,13,15,31,68,17,106,26,0,144,22,27,20,25,16,43,81,23,25,13,3,40,35,63,2721,128,20,212,58,30,16,228,105,53,19,22,29,42,63,19,14,24,34,16,56,87,20,29,25,40,53,38,5,40,9,30,91,79,27,4,9,166,4,23,45,12,6,14,254,10,24,35,20166,11831,8335,#0083D8
19,Corum,99,29,79,39,693,10028,498,16,136,170,37,24,36,235,15,450,65,184,0,95,76,65,73,52,128,198,51,113,22,11,63,105,105,3272,717,44,314,212,28,90,277,219,55,45,155,28,18,155,26,28,52,102,63,178,628,24,70,166,79,372,182,24,67,17,47,241,84,30,19,30,270,23,29,32,3,22,40,38,3,20,71,13672,22699,-9027,#900000
20,Denizli,252,50,2169,209,58,1032,1339,38,1680,306,50,20,50,38,744,349,135,43,52,0,120,59,101,46,267,344,155,63,21,49,204,692,239,1681,2374,48,55,133,42,45,211,574,199,75,792,88,67,1348,157,47,50,90,44,119,159,119,40,66,149,96,114,19,118,634,206,63,68,60,11,63,54,91,66,22,13,48,31,40,9,72,62,20119,21706,-1587,#FF8888
21,Diyarbakir,1849,364,153,178,88,3003,1663,45,442,566,97,788,499,89,47,1419,182,66,77,156,0,152,1409,286,438,338,638,84,158,89,683,184,1798,8675,3194,195,128,318,107,86,474,472,125,775,357,217,1290,400,421,57,74,145,71,161,193,618,72,189,240,135,66,115,1760,58,708,83,67,70,117,51,95,2503,288,47,19,73,172,47,69,158,135,32384,43918,-11534,#600000
22,Edirne,71,25,54,117,37,615,178,16,93,276,40,42,36,70,22,476,365,19,50,60,36,0,49,25,89,153,49,37,26,21,87,47,87,3807,510,108,31,94,671,28,272,105,58,50,126,33,99,69,26,19,16,106,36,128,124,41,29,50,1959,63,69,42,109,30,61,34,93,19,16,15,41,18,85,27,21,64,32,19,25,37,27,15183,12910,2273,#008FED
23,Elazig,677,121,68,44,25,1171,501,21,205,189,61,558,100,56,59,495,51,33,60,93,941,76,0,198,213,127,315,64,51,16,232,110,416,3351,806,55,52,280,39,47,284,241,95,1960,178,226,67,164,127,35,40,70,44,120,152,52,33,148,99,114,143,548,172,48,125,66,47,62,24,20,55,64,54,29,37,36,51,23,43,98,30,15900,18001,-2101,#FF6867
24,Erzincan,131,39,26,137,17,798,276,26,154,154,21,45,21,34,16,358,62,18,65,57,61,24,192,0,463,139,104,57,230,15,105,47,119,3733,519,66,22,113,37,25,263,114,41,114,103,78,21,80,27,32,51,58,50,59,103,19,9,224,150,89,190,100,69,22,48,52,19,32,72,17,51,22,25,6,15,41,85,22,16,36,38,11966,11189,777,#19A4FF
25,Erzurum,343,69,126,342,118,2710,672,306,368,462,99,108,69,65,39,3206,140,86,114,234,116,173,160,737,0,277,189,216,144,21,267,114,250,8586,2682,350,104,440,125,87,1533,511,110,147,401,144,44,252,170,93,86,182,474,439,420,39,70,186,668,170,643,25,127,46,164,96,111,88,236,49,118,53,37,62,90,188,367,48,25,122,133,24830,33681,-8851,#A00000
26,Eskisehir,219,76,970,137,101,3326,1190,46,380,529,958,24,54,122,67,1344,157,77,138,282,160,104,64,51,170,0,141,78,18,11,279,196,311,3084,1355,80,64,245,102,88,703,700,798,207,303,85,92,346,41,58,109,142,51,276,299,28,67,139,254,77,150,16,173,143,79,84,194,57,17,29,90,72,73,56,22,29,119,75,13,55,106,32346,23225,9121,#007FD3
27,Gaziantep,1883,1420,259,99,60,1571,1682,40,206,275,51,99,155,86,45,500,140,63,83,174,430,82,366,122,259,259,0,84,39,54,1653,172,1824,4240,953,108,38,405,44,91,311,441,117,691,193,1950,257,348,147,58,127,81,61,150,160,146,53,263,149,151,139,37,3410,73,477,150,53,87,33,79,71,116,337,19,35,46,70,29,1711,1114,71,36075,34125,1950,#029BFF
28,Giresun,77,28,59,21,51,696,227,56,73,92,20,44,36,53,6,867,49,89,42,61,51,64,46,73,309,113,36,0,242,7,57,48,87,9385,281,29,38,89,29,12,1225,135,46,50,68,55,45,83,13,14,27,927,211,205,643,12,31,192,100,83,996,24,46,12,56,62,127,27,44,6,26,31,25,28,14,22,71,31,10,29,72,16970,19567,-2597,#FF4F4F
